timestamp,heart_rate,systolic_bp,temperature
2025-01-15 08:00,72,115,36.8
2025-01-15 08:15,75,118,36.9
2025-01-15 08:30,80,122,37.0
2025-01-15 08:45,88,130,37.1
2025-01-15 09:00,95,140,37.3
2025-01-15 09:15,105,152,37.8
2025-01-15 09:30,115,165,38.2
2025-01-15 09:45,125,172,38.7
2025-01-15 10:00,130,180,39.1
2025-01-15 10:15,118,170,38.9
2025-01-15 10:30,108,158,38.4
2025-01-15 10:45,98,145,38.0
2025-01-15 11:00,88,132,37.6
2025-01-15 11:15,78,120,37.2
2025-01-15 11:30,68,112,36.9
2025-01-15 11:45,60,105,36.7
2025-01-15 12:00,55,100,36.5
2025-01-15 12:15,48,95,36.2
2025-01-15 12:30,45,88,35.8
2025-01-15 12:45,42,82,35.4
2025-01-15 13:00,40,78,35.1
2025-01-15 13:15,52,90,35.6
2025-01-15 13:30,62,98,36.1
2025-01-15 13:45,70,108,36.6
2025-01-15 14:00,76,114,36.9
